license_url,license_text,cc_license,cc_license_type,open_gov,custom_permanent,custom_temporary,custom_other,unknown
Creative Commons Attribution,"Hypertension yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution,"Stroke  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution,"Stroke yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution,"This is an open access article under the terms of the  Creative Commons Attribution uri http://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution 4.0,"This is an open access article under the terms of the  Creative Commons Attribution 4.0 uri http://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri http://creativecommons.org/licenses/by/4.0/ , which permits use, distribution, and reproduction in any medium, so long as the resultant use is  not  for commercial advantage and provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri https://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri http://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.  http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri https://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri https://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.  http://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CC BY),This open access article is distributed under  Creative Commons Attribution License 4.0 (CC BY) uri http://creativecommons.org/licenses/by/4.0/ .,TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CCBY),"This is an open-access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CCBY),"This is an open access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution License 4.0 (CCBY),"This is an open access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri https://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Arteriosclerosis, Thrombosis, and Vascular Biology  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Arteriosclerosis, Thrombosis, and Vascular Biology yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation Research  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Arrhythmia and Electrophysiology  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Cardiovascular Quality and Outcomes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Heart Failure  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Hypertension  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Hypertension yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Stroke  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution Non-Commercial-NoDerivs,"Stroke yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-NoDerivatives License 4.0,"This is an open access article distributed under the  Creative Commons Attribution-NoDerivatives License 4.0 uri http://creativecommons.org/licenses/by-nd/4.0/ , which allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author.  http://creativecommons.org/licenses/by-nd/4.0/ uri http://creativecommons.org/licenses/by-nd/4.0/",TRUE,CC-BY-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.  http://creativecommons.org/licenses/by-nc-nd/4.0/ uri http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri https://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri https://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.  http://creativecommons.org/licenses/by-nc-nd/4.0/ uri https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri http://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri http://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attribution-Noncommercial-No Derivative 3.0 license,"This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License. To view a copy of this license, visit  Creative Commons Attribution-Noncommercial-No Derivative 3.0 license uri http://creativecommons.org/licenses/by-nc-nd/3.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attributionâ€NonCommercial,"This is an open access article under the terms of the  Creative Commons Attributionâ€NonCommercial uri http://creativecommons.org/licenses/by-nc/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited and is not used for commercial purposes.",TRUE,CC-BY-NC,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attributionâ€NonCommercial,"This is an open access article under the terms of the  Creative Commons Attributionâ€NonCommercial uri http://creativecommons.org/licenses/by-nc/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original
work is properly cited and is not used for commercial purposes.",TRUE,CC-BY-NC,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons Attributionâ€NonCommercialâ€NoDerivs,"This is an open access article under the terms of the  Creative Commons Attributionâ€NonCommercialâ€NoDerivs uri http://creativecommons.org/licenses/by-nc-nd/3.0/  License, which permits use and distribution in any medium, provided the original work is properly cited, the use is nonâ€commercial and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons CC-BY,"Annals of Noninvasive Electrocardiology  published by Wiley Periodicals Inc. on behalf of the International Society for Holter and Noninvasive Electrocardiology /  Cardiovascular Digital Health Journal  published by Elsevier Inc. on behalf of the Heart Rhythm Society /  Circulation: Arrhythmia and Electrophysiology  published by Wolters Kluwer Health, Inc. on behalf of the American Heart Association, Inc. /  European Heart Journal â€“ Digital Health  published by Oxford University Press on behalf of the European Society of Cardiology /  Journal of Arrhythmia  published by Wiley and Sons Australia Ltd on behalf of the Japanese Heart Rhythm Society and the Asia Pacific Heart Rhythm Society. This article is published under the  Creative Commons CC-BY uri http://creativecommons.org/licenses/by/4.0/  license, which permits use, distribution and reproduction in any medium, provided the original work is properly cited. The articles are identical except for minor stylistic and spelling differences in keeping with each journalâ€™s style. Either citation can be used when citing this article.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
Creative Commons CC-BY,"European Heart Rhythm Association, a registered branch of the European Society of Cardiology; American College of Cardiology Foundation; Asia Pacific Heart Rhythm Society; the Latin American Heart Rhythm Society. Published by [Elsevier Inc./Wolters Kluwer Health/Oxford University Press/Wiley]. This article is published under the  Creative Commons CC-BY uri https://creativecommons.org/licenses/by/4.0/  license.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
http://ccforum.com/series/annualupdate2014,This article is one of ten reviews selected from the  Annual Update in Intensive Care and Emergency Medicine  2014 and co-published as a series in  Critical Care . Other articles in the series can be found online at  http://ccforum.com/series/annualupdate2014 uri http://ccforum.com/series/annualupdate2014 . Further information about the  Annual Update in Intensive Care and Emergency Medicine  is available from  http://www.springer.com/series/8901 uri http://www.springer.com/series/8901 .,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE
http://creativecommons.org/,"Open Access: This article is distributed under the terms of the Creative Commons Attribution 4.0 International License ( http://creativecommons.org/ uri http://creativecommons.org/  licenses/by/4.0/), which permits use, duplication, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license and indicate if changes were made.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/,"This is an Open Access article distributed under the terms of the Creative Commons Attribution License ( http://creativecommons.org/ uri http://creativecommons.org/  licenses/by/3.0/), which permits unrestricted reuse, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,CC-BY,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0,"This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License. The images or other third party material in this article are included in the article's Creative Commons license, unless indicated otherwise in the credit line; if thematerial is not included under the Creative Commons license, users will need to obtain permission fromthe license holder to reproduce the material. To view a copy of this license, visit  http://creativecommons.org/licenses/by-nc-nd/3.0 uri http://creativecommons.org/licenses/by-nc-nd/3.0",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0,"This work is licensed under the Creative Commons Attribution-NonCommercial-No Derivative Works 3.0 Unported License. To view a copy of this license, visit  http://creativecommons.org/licenses/by-nc-nd/3.0 uri http://creativecommons.org/licenses/by-nc-nd/3.0",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This is an open access article distributed under the Creative Commons Attribution-Non Commercial License  http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/ , where it is permissible to download, share and reproduce the work in any medium, provided it is properly cited. The work cannot be used commercially.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This is an Open Access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs licence ( http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/ ), which permits non-commercial reproduction and distribution of the work, in any medium, provided the original work is not altered or transformed in any way, and that the work is properly cited. For commercial re-use, please contact journals.permissions@oup.com.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This is an Open Access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs licence ( http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/ ), which permits non-commercial reproduction and distribution of the work, in any medium, provided the original work is not altered or transformed in any way, and that the work properly cited. For commercial re-use, please contact journals.permissions@oup.com.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This is an open access article under the terms of the  http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/  License, which permits use and distribution in any medium, provided the original work is properly cited, the use is nonâ€commercial and no modifications or adaptations are made.",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This work is licensed under a Creative Commons Attribution-NonCommercial-No Derivative Works 3.0 Unported License. To view a copy of this license, visit  http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported license. The images in this article are included in the article's Creative Commons license, unless indicated otherwise in the image credit; if the image is not included under the Creative Commons license, users will need to obtain permission from the license holder in order to reproduce the image. To view a copy of this license, visit  http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License. The images or other third party material in this article are included in the article's Creative Commons license, unless indicated otherwise in the credit line; if the material is not included under the Creative Commons license, users will need to obtain permission from the license holder to reproduce the material. To view a copy of this license, visit  http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
http://creativecommons.org/licenses/by-nc-nd/3.0/,"This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License. To view a copy of this license, visit  http://creativecommons.org/licenses/by-nc-nd/3.0/ uri http://creativecommons.org/licenses/by-nc-nd/3.0/",TRUE,CC-BY-NC-ND,FALSE,FALSE,FALSE,FALSE,FALSE
