collection,journal,pmcid,no_pmid,%
Oxford University Press,Europace,48,25,52.1
Elsevier,Atherosclerosis,38,24,63.2
Elsevier,Can J Cardiol,86,24,27.9
Elsevier,Pathology,62,24,38.7
Oxford University Press,Br J Soc Work,34,24,70.6
Springer Nature,Advanced Techniques in Diagnostic Microbiology,24,24,100
Springer Nature,Coordination Models and Languages,24,24,100
Springer Nature,Developments in Language Theory,24,24,100
Springer Nature,Intensive Care Medicine,25,24,96
University of Toronto Press,Can Public Policy,24,24,100
Elsevier,Actas Dermosifiliogr,74,23,31.1
Elsevier,J Mol Biol,158,23,14.6
Oxford University Press,Rheumatol Adv Pract,44,23,52.3
Springer Nature,Application and Theory of Petri Nets and Concurrency,23,23,100
Springer Nature,Computers Helping People with Special Needs,23,23,100
Elsevier,Ann Allergy Asthma Immunol,118,22,18.6
Elsevier,J Emerg Med,113,22,19.5
Elsevier,Rev Mal Respir,65,22,33.8
Elsevier,Rev Med Interne,56,22,39.3
Elsevier,Trends Microbiol,137,22,16.1
Oxford University Press,J Can Assoc Gastroenterol,26,22,84.6
Elsevier,Ann Hepatol,52,21,40.4
Elsevier,J Allergy Clin Immunol Pract,198,21,10.6
Elsevier,J Am Acad Dermatol,349,21,6
Elsevier,J Comp Pathol,93,21,22.6
Elsevier,J Vasc Interv Radiol,40,21,52.5
Elsevier,Problem-Based Feline Medicine,21,21,100
Oxford University Press,Precis Clin Med,24,21,87.5
Springer Nature,Artificial Intelligence Applications and Innovations. AIAI 2020 IFIP WG 12.5 International Workshops,21,21,100
Springer Nature,Progress in Cryptology - AFRICACRYPT 2020,21,21,100
Elsevier,Ann Epidemiol,61,20,32.8
Elsevier,Gastrointest Endosc,76,20,26.3
NEJM,NEJM Catal Innov Care Deliv,20,20,100
Oxford University Press,Occup Med (Lond),96,20,20.8
Springer Nature,BMC Public Health,810,20,2.5
Springer Nature,Graph Transformation,20,20,100
Springer Nature,Open Source Systems,20,20,100
Springer Nature,Prevention and Control of Infections in Hospitals,20,20,100
Wiley,Alzheimers Dement,23,20,87
Elsevier,Bioorg Med Chem Lett,95,19,20
Elsevier,COVID-19 Pandemic,19,19,100
Elsevier,Curr Biol,60,19,31.7
Elsevier,Handbook of Proteolytic Enzymes,19,19,100
Elsevier,Infect Dis Clin North Am,105,19,18.1
Elsevier,J Am Soc Cytopathol,25,19,76
Elsevier,Rev Neurol (Paris),49,19,38.8
Elsevier,Travel Medicine,19,19,100
Springer Nature,Animal Coronaviruses,19,19,100
Springer Nature,Molecular Biology of the SARS-Coronavirus,19,19,100
Elsevier,Am J Geriatr Psychiatry,105,18,17.1
Elsevier,Cytokine,83,18,21.7
Elsevier,Fenner's Veterinary Virology,18,18,100
Elsevier,HPB (Oxford),23,18,78.3
Elsevier,J Natl Med Assoc,57,18,31.6
Elsevier,Toxicol Lett,21,18,85.7
Elsevier,Vet Immunol Immunopathol,192,18,9.4
Oxford University Press,Eur Heart J Acute Cardiovasc Care,31,18,58.1
Springer Nature,Architecture of Computing Systems – ARCS 2020,18,18,100
Springer Nature,Die Intensivmedizin,18,18,100
Springer Nature,Experimental Models of Multiple Sclerosis,18,18,100
Springer Nature,Nat Med,148,18,12.2
Springer Nature,Reversible Computation,18,18,100
Elsevier,Ann Inst Pasteur Virol,33,17,51.5
Elsevier,Encyclopedia of Environmental Health,17,17,100
Elsevier,Encyclopedia of Microbiology,17,17,100
Elsevier,J Hosp Infect,426,17,4
Elsevier,J Infect Public Health,357,17,4.8
Elsevier,J Mol Diagn,68,17,25
Elsevier,Viral and Mycoplasmal of Laboratory Rodents,17,17,100
Oxford University Press,Am J Clin Pathol,103,17,16.5
Springer Nature,Coronavirus Disease 2019 (COVID-19),17,17,100
Springer Nature,Crit Care,775,17,2.2
Springer Nature,Evidence-Based Critical Care,17,17,100
Springer Nature,Fundamentals of Air Cleaning Technology and Its Application in Cleanrooms,17,17,100
Springer Nature,Infectious Disease Informatics,17,17,100
Springer Nature,"National Institute of Allergy and Infectious Diseases, NIH",17,17,100
Springer Nature,Noninvasive Ventilation in High-Risk Infections and Mass Casualty Events,17,17,100
Springer Nature,Virol Sin,234,17,7.3
BMJ,BMJ Open,645,16,2.5
Elsevier,Cell,276,16,5.8
Elsevier,Environmental and Health Management of Novel Coronavirus Disease (COVID-19 ),16,16,100
Elsevier,Environmental Resilience and Transformation in Times of COVID-19,16,16,100
Springer Nature,Agile Processes in Software Engineering and Extreme Programming,16,16,100
Springer Nature,Biomedical Image Registration,16,16,100
Wiley,J Cell Biochem,35,16,45.7
Elsevier,Biol Blood Marrow Transplant,62,15,24.2
Elsevier,Bioorg Med Chem,113,15,13.3
Elsevier,Curr Opin Struct Biol,40,15,37.5
Elsevier,Emerging and Reemerging Viral Pathogens,15,15,100
Elsevier,FEBS Lett,103,15,14.6
Elsevier,Immunol Lett,61,15,24.6
Elsevier,Indian J Tuberc,53,15,28.3
Elsevier,Microbial Forensics,15,15,100
Elsevier,Resuscitation,134,15,11.2
Springer Nature,Algorithms for Computational Biology,15,15,100
Springer Nature,Inter Econ,105,15,14.3
Springer Nature,Janeway Immunologie,15,15,100
Wiley,Clin Microbiol Infect,80,15,18.8
Wiley,Pediatr Pulmonol,164,15,9.1
Elsevier,Air Med J,56,14,25
Elsevier,Canine and Feline Infectious Diseases,14,14,100
Elsevier,Clinical Veterinary Advisor,14,14,100
Elsevier,Disaster Medicine,14,14,100
Elsevier,Eur J Cancer,118,14,11.9
Elsevier,Eur Neuropsychopharmacol,26,14,53.8
Elsevier,Gynecol Oncol,42,14,33.3
Elsevier,Virus as Populations,14,14,100
Elsevier,Virus Infections of Ruminants,14,14,100
Springer Nature,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,173,14,8.1
Springer Nature,Group Decision and Negotiation: A Multidisciplinary Perspective,14,14,100
Springer Nature,Monatsschr Kinderheilkd,138,14,10.1
Springer Nature,Pediatr Radiol,98,14,14.3
Springer Nature,Radiologe,62,14,22.6
Springer Nature,Reprod Sci,39,14,35.9
Cambridge University Press,Epidemiol Infect,264,13,4.9
Elsevier,Ciottone's Disaster Medicine,13,13,100
Elsevier,Curr Opin Virol,173,13,7.5
Elsevier,"Fowler's Zoo and Wild Animal Medicine, Volume 8",13,13,100
Elsevier,J Am Pharm Assoc (2003),86,13,15.1
Elsevier,J Hepatol,122,13,10.7
Elsevier,J Infect,748,13,1.7
Elsevier,J Obstet Gynaecol Can,44,13,29.5
Elsevier,J Oral Maxillofac Surg,58,13,22.4
Elsevier,J Vasc Surg Venous Lymphat Disord,46,13,28.3
Elsevier,Mayo Clin Proc,283,13,4.6
Elsevier,Neuromuscul Disord,21,13,61.9
Elsevier,Pathology of Wildlife and Zoo Animals,13,13,100
Elsevier,Sci Total Environ,618,13,2.1
Elsevier,Viral Pathogenesis,13,13,100
Oxford University Press,Rev Asset Pricing Stud,13,13,100
Springer Nature,Dail and Hammar’s Pulmonary Pathology,13,13,100
Springer Nature,"Detection of Intrusions and Malware, and Vulnerability Assessment",13,13,100
Springer Nature,"Formal Techniques for Distributed Objects, Components, and Systems",13,13,100
Springer Nature,Innere Medizin,13,13,100
Springer Nature,J Nutr Health Aging,90,13,14.4
Springer Nature,Oncologic Critical Care,13,13,100
Springer Nature,Pediatr Cardiol,70,13,18.6
Springer Nature,Pediatric Critical Care Medicine,13,13,100
Springer Nature,Repetitorium Internistische Intensivmedizin,13,13,100
Springer Nature,Textbook of Clinical Pediatrics,13,13,100
AOSIS,NA,12,12,100
Elsevier,Arch Pediatr,75,12,16
Elsevier,Canine and Feline Cytology,12,12,100
Elsevier,Enferm Infecc Microbiol Clin,129,12,9.3
Elsevier,Fenner and White's Medical Virology,12,12,100
Elsevier,J Pain Symptom Manage,125,12,9.6
Elsevier,Kendig's Disorders of the Respiratory Tract in Children,12,12,100
Elsevier,Midwifery,41,12,29.3
Elsevier,Principles and Practice of Pediatric Infectious Disease,12,12,100
Elsevier,Rev Clin Esp,74,12,16.2
Elsevier,Small Animal Critical Care Medicine,12,12,100
Elsevier,The New Public Health,12,12,100
Elsevier,"Tropical Infectious Diseases: Principles, Pathogens and Practice",12,12,100
Elsevier,Value Health Reg Issues,16,12,75
Elsevier,Veterinary Virology,12,12,100
Sage,Qual Inq,12,12,100
Springer Nature,Advanced Information Systems Engineering Workshops,12,12,100
Springer Nature,Chin J Integr Med,48,12,25
Springer Nature,Distributed Applications and Interoperable Systems,12,12,100
Springer Nature,Freie Zahnarzt,72,12,16.7
Springer Nature,Principles and Practice of Transplant Infectious Diseases,12,12,100
Wiley,J Vet Med B Infect Dis Vet Public Health,48,12,25
Elsevier,Biomedical Engineering Tools for Management for Patients with COVID-19,11,11,100
Elsevier,Br Vet J,29,11,37.9
Elsevier,Clinical Respiratory Medicine,11,11,100
Elsevier,Cytotherapy,32,11,34.4
Elsevier,Encyclopedia of Immunobiology,11,11,100
Elsevier,Encyclopedia of Respiratory Medicine,11,11,100
Elsevier,Handbook of Biosurveillance,11,11,100
Elsevier,J Perianesth Nurs,35,11,31.4
Elsevier,"Jubb, Kennedy & Palmer's Pathology of Domestic Animals",11,11,100
Elsevier,Pathologic Basis of Veterinary Disease,11,11,100
Elsevier,Plotkin's Vaccines,11,11,100
Elsevier,Saunders Manual of Small Animal Practice,11,11,100
Elsevier,Ultramicroscopy,13,11,84.6
Elsevier,Vet Clin North Am Exot Anim Pract,59,11,18.6
Elsevier,Viruses,11,11,100
Oxford University Press,Eur Heart J,206,11,5.3
Oxford University Press,FEMS Microbiol Lett,35,11,31.4
Oxford University Press,J Pediatric Infect Dis Soc,113,11,9.7
Springer Nature,Approach to Internal Medicine,11,11,100
Springer Nature,Coronaviruses with Special Emphasis on First Insights Concerning SARS,11,11,100
Springer Nature,Ir J Med Sci,221,11,5
Springer Nature,Lab Invest,40,11,27.5
Springer Nature,Molecular Virology,11,11,100
Springer Nature,OZONE,11,11,100
Springer Nature,Viruses in Foods,11,11,100
Wiley,FEMS Microbiol Lett,17,11,64.7
ACS,ACS Appl Nano Mater,11,10,90.9
BMJ,BMJ Innov,19,10,52.6
Elsevier,Breast,19,10,52.6
Elsevier,Clin Chest Med,52,10,19.2
Elsevier,Eur J Med Chem,134,10,7.5
Elsevier,Feline Internal Medicine Secrets,10,10,100
Elsevier,Goldman's Cecil Medicine,10,10,100
Elsevier,Handbook of Small Animal Practice,10,10,100
Elsevier,J Equine Vet Sci,12,10,83.3
Elsevier,J Med Vasc,20,10,50
Elsevier,J Transp Health,42,10,23.8
Elsevier,J Virol Methods,537,10,1.9
Elsevier,Murray and Nadel's Textbook of Respiratory Medicine,10,10,100
Elsevier,Principles of Molecular Virology,10,10,100
Elsevier,Prog Neuropsychopharmacol Biol Psychiatry,29,10,34.5
Elsevier,Radiologia,28,10,35.7
Elsevier,Surveying the Covid-19 Pandemic and its Implications,10,10,100
Elsevier,Textbook of Rabbit Medicine,10,10,100
Elsevier,Trends Neurosci,18,10,55.6
Elsevier,Vaccines,10,10,100
Oxford University Press,Eur J Cardiovasc Nurs,23,10,43.5
Oxford University Press,Lab Med,37,10,27
Springer Nature,Arch Virol,775,10,1.3
Springer Nature,Bioemergency Planning,10,10,100
Springer Nature,Biopreparedness and Public Health,10,10,100
Springer Nature,Data Mining and Big Data,10,10,100
Springer Nature,Metascience,14,10,71.4
Springer Nature,MMW Fortschr Med,299,10,3.3
Springer Nature,Mod Pathol,42,10,23.8
Springer Nature,Novel Coronavirus 2019,10,10,100
Springer Nature,Pulmonary Involvement in Patients with Hematological Malignancies,10,10,100
Springer Nature,"The Future of Service Post-COVID-19 Pandemic, Volume 1",10,10,100
Springer Nature,Viruses and the Lung,10,10,100
Wiley,Allergy,136,10,7.4
Wiley,FEBS J,64,10,15.6
Wiley,Med J Aust,157,10,6.4
Wiley,Rev Med Virol,172,10,5.8
ACS,ACS Appl Bio Mater,10,9,90
BMJ,BMJ Simul Technol Enhanc Learn,9,9,100
Elsevier,Biol Psychiatry,24,9,37.5
Elsevier,Clin Lab Med,47,9,19.1
Elsevier,Consultations in Feline Internal Medicine,9,9,100
Elsevier,Contraception,26,9,34.6
Elsevier,Diagnostic Pathology of Infectious Disease,9,9,100
Elsevier,Encyclopedia of Agriculture and Food Systems,9,9,100
Elsevier,Encyclopedia of Dairy Sciences,9,9,100
Elsevier,Encyclopedia of Forensic and Legal Medicine,9,9,100
Elsevier,"Fowler's Zoo and Wild Animal Medicine Current Therapy, Volume 9",9,9,100
Elsevier,Immunol Allergy Clin North Am,25,9,36
Elsevier,Int Immunopharmacol,236,9,3.8
Elsevier,International Encyclopedia of Human Geography,9,9,100
Elsevier,J Am Dent Assoc,73,9,12.3
Elsevier,J Cardiothorac Vasc Anesth,163,9,5.5
Elsevier,Microb Pathog,122,9,7.4
Elsevier,Mims' Pathogenesis of Infectious Disease,9,9,100
Elsevier,Mult Scler Relat Disord,162,9,5.6
Elsevier,Paediatr Respir Rev,75,9,12
Elsevier,Small Animal Clinical Diagnosis by Laboratory Methods,9,9,100
Elsevier,The Cat,9,9,100
Elsevier,Transplant Cell Ther,29,9,31
Elsevier,Trends Biochem Sci,29,9,31
Elsevier,Vaccines for Biodefense and Emerging and Neglected Diseases,9,9,100
Elsevier,Vet Clin North Am Food Anim Pract,73,9,12.3
Oxford University Press,Child Sch,9,9,100
Oxford University Press,Community Dev J,9,9,100
Oxford University Press,Eur Heart J Suppl,26,9,34.6
Oxford University Press,Int J Pharm Pract,20,9,45
Oxford University Press,Public Health Ethics,18,9,50
Oxford University Press,Virus Evol,64,9,14.1
Springer Nature,Antimicrob Resist Infect Control,122,9,7.4
Springer Nature,Common Cold,9,9,100
Springer Nature,Eur Surg,37,9,24.3
Springer Nature,"Explainable, Transparent Autonomous Agents and Multi-Agent Systems",9,9,100
Springer Nature,Genome Biol,53,9,17
Springer Nature,HIV/AIDS in China,9,9,100
Springer Nature,Intelligent and Fuzzy Techniques: Smart and Innovative Solutions,9,9,100
Springer Nature,Lexikon der Medizinischen Laboratoriumsdiagnostik,9,9,100
Springer Nature,Medizinrecht,58,9,15.5
Springer Nature,Nat Rev Drug Discov,63,9,14.3
Springer Nature,Neuroradiology,40,9,22.5
Springer Nature,New Concepts of Antiviral Therapy,9,9,100
Springer Nature,Pediatric Board Study Guide,9,9,100
Springer Nature,Society,43,9,20.9
Springer Nature,Transplant Infections,9,9,100
Springer Nature,Yearbook of Intensive Care and Emergency Medicine,9,9,100
Wiley,Vox Sang,67,9,13.4
ACS,NA,8,8,100
Cambridge University Press,J Clin Transl Sci,39,8,20.5
Elsevier,Cir Esp,54,8,14.8
Elsevier,Clin Perinatol,25,8,32
Elsevier,Clin Radiol,83,8,9.6
Elsevier,Ensuring National Biosecurity,8,8,100
Elsevier,Equine Internal Medicine,8,8,100
Elsevier,Hunter's Tropical Medicine and Emerging Infectious Diseases,8,8,100
Elsevier,Indian Heart J,41,8,19.5
Elsevier,J Immunol Methods,84,8,9.5
Elsevier,J Pediatr Surg,38,8,21.1
Elsevier,Kidney Int,163,8,4.9
Elsevier,Llama and Alpaca Care,8,8,100
Elsevier,Microbes Infect,128,8,6.2
Elsevier,Oral Oncol,86,8,9.3
Elsevier,Rev Fr Allergol (2009),23,8,34.8
Elsevier,The Biology of Animal Viruses,8,8,100
Elsevier,"The Laboratory Rabbit, Guinea Pig, Hamster, and Other Rodents",8,8,100
Elsevier,The Laboratory Rat,8,8,100
Elsevier,Toxicon,13,8,61.5
Elsevier,Tropical Infectious Diseases,8,8,100
Elsevier,Vaccines for Veterinarians,8,8,100
Elsevier,Vet Clin North Am Small Anim Pract,87,8,9.2
Oxford University Press,Eur Heart J Digit Health,8,8,100
Oxford University Press,Inflamm Bowel Dis,77,8,10.4
Oxford University Press,J Breast Imaging,8,8,100
Oxford University Press,J Infect Dis,716,8,1.1
Oxford University Press,J Pharm Health Serv Res,10,8,80
Oxford University Press,J Refug Stud,8,8,100
Oxford University Press,Rev Financ Stud,8,8,100
Springer Nature,A Comprehensive Evaluation on Emergency Response in China,8,8,100
Springer Nature,BMC Infect Dis,943,8,0.8
Springer Nature,BMC Med Educ,212,8,3.8
Springer Nature,Emerging Infections in Asia,8,8,100
Springer Nature,Experientia,15,8,53.3
Springer Nature,Infectious Diseases in Critical Care,8,8,100
Springer Nature,Infectious Diseases in the New Millennium,8,8,100
Springer Nature,J Biomed Sci,67,8,11.9
Springer Nature,Molekulare Virologie,8,8,100
Springer Nature,Nat Rev Immunol,262,8,3.1
Springer Nature,Pediatric and Neonatal Mechanical Ventilation,8,8,100
Springer Nature,Pharmaceut Med,24,8,33.3
Springer Nature,Repetitorium Intensivmedizin,8,8,100
Springer Nature,Risk Assessment and Risk Communication Strategies in Bioterrorism Preparedness,8,8,100
Springer Nature,Semantic Systems. In the Era of Knowledge Graphs,8,8,100
Springer Nature,The Infectious Disease Diagnosis,8,8,100
Springer Nature,Trials,541,8,1.5
Springer Nature,Viral Infections of Humans,8,8,100
Springer Nature,Virchows Arch,52,8,15.4
Wiley,Hepatology,55,8,14.5
Elsevier,Am J Emerg Med,467,7,1.5
Elsevier,An Pediatr (Barc),105,7,6.7
Elsevier,Appetite,27,7,25.9
Elsevier,Asthma and COPD,7,7,100
Elsevier,Biosecurity and Bioterrorism,7,7,100
Elsevier,Canine and Feline Gastroenterology,7,7,100
Elsevier,Clinical Immunology,7,7,100
Elsevier,Comprehensive Toxicology,7,7,100
Elsevier,COVID-19,7,7,100
Elsevier,Dent Abstr,9,7,77.8
Elsevier,Equine Infectious Diseases,7,7,100
Elsevier,FEMS Microbiol Lett,9,7,77.8
Elsevier,Gac Sanit,73,7,9.6
Elsevier,Geriatr Nurs,59,7,11.9
Elsevier,Heart Lung,109,7,6.4
Elsevier,Int J Psychophysiol,8,7,87.5
Elsevier,J AAPOS,28,7,25
Elsevier,J Emerg Nurs,60,7,11.7
Elsevier,J Pediatr,188,7,3.7
Elsevier,J Pharmacol Toxicol Methods,10,7,70
Elsevier,Kendig & Chernick's Disorders of the Respiratory Tract in Children,7,7,100
Elsevier,Manson's Tropical Diseases,7,7,100
Elsevier,Manson's Tropical Infectious Diseases,7,7,100
Elsevier,Methods Enzymol,24,7,29.2
Elsevier,Nefrologia,54,7,13
Elsevier,Origin and Evolution of Viruses,7,7,100
Elsevier,Pediatr Clin North Am,51,7,13.7
Elsevier,Rebhun's Diseases of Dairy Cattle,7,7,100
Elsevier,Reference Module in Neuroscience and Biobehavioral Psychology,7,7,100
Elsevier,Small Animal Pediatrics,7,7,100
Elsevier,Textbook of Medical Virology,7,7,100
Elsevier,The Microbiology of Respiratory System Infections,7,7,100
Elsevier,The Mouse in Biomedical Research,7,7,100
Elsevier,The Travel and Tropical Medicine Manual,7,7,100
Elsevier,Thromb Res,183,7,3.8
Elsevier,Veterinary Medicine,7,7,100
Elsevier,Virus Taxonomy,7,7,100
Elsevier,Viruses and Human Disease,7,7,100
Elsevier,World Neurosurg,260,7,2.7
Oxford University Press,Arch Clin Neuropsychol,20,7,35
Oxford University Press,Clin Kidney J,87,7,8
Oxford University Press,Commun Cult Crit,7,7,100
Oxford University Press,Int Aff,15,7,46.7
Oxford University Press,Publius,10,7,70
Springer Nature,Activation of Viruses by Host Proteases,7,7,100
Springer Nature,Acute Exacerbation of Chronic Hepatitis B,7,7,100
Springer Nature,Ann Surg Oncol,106,7,6.6
Springer Nature,BMC Proc,27,7,25.9
