id,license_url,license_text,cc_license,cc_license_type,open_gov,custom_permanent,custom_temporary,custom_other,unknown
12,Creative Commons Attribution,"Circulation yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
13,Creative Commons Attribution,"Circulation: Arrhythmia and Electrophysiology  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
14,Creative Commons Attribution,"Circulation: Cardiovascular Imaging  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
15,Creative Commons Attribution,"Hypertension  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
16,Creative Commons Attribution,"Hypertension yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
17,Creative Commons Attribution,"Stroke  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
18,Creative Commons Attribution,"Stroke yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
19,Creative Commons Attribution,"This is an open access article under the terms of the  Creative Commons Attribution uri http://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
20,Creative Commons Attribution,"This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
21,Creative Commons Attribution,"This is an open access article under the terms of the  Creative Commons Attribution uri https://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
22,Creative Commons Attribution-NoDerivatives License 4.0,"This is an open access article distributed under the  Creative Commons Attribution-NoDerivatives License 4.0 uri http://creativecommons.org/licenses/by-nd/4.0/ , which allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author.  http://creativecommons.org/licenses/by-nd/4.0/ uri http://creativecommons.org/licenses/by-nd/4.0/",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
23,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
24,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri http://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.  http://creativecommons.org/licenses/by-nc-nd/4.0/ uri http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
25,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri https://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
26,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri https://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.  http://creativecommons.org/licenses/by-nc-nd/4.0/ uri https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
27,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0,"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 uri https://creativecommons.org/licenses/by-nc-nd/4.0/  (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.  http://creativecommons.org/licenses/by-nc-nd/4.0/ uri https://creativecommons.org/licenses/by-nc-nd/4.0/ 
",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
28,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND,"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND uri http://creativecommons.org/licenses/by-nc-nd/4.0/ ), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
29,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri CreativeCommonsAttribution-NonCommercial-NoDerivativesLicense4.0(CCBY-NC-ND) , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
30,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri http://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
31,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri http://CreativeCommonsAttribution-NonCommercial-NoDerivativesLicense4.0(CCBY-NC-ND) , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
32,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
33,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
34,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri http://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
35,Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND),"This is an open access article distributed under the terms of the  Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND) uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
36,Creative Commons Attribution-Non Commercial License 4.0 (CCBY-NC),"This is an open-access article distributed under the terms of the  Creative Commons Attribution-Non Commercial License 4.0 (CCBY-NC) uri https://creativecommons.org/licenses/by-nc/4.0/ , where it is permissible to download, share, remix, transform, and buildup the work provided it is properly cited. The work cannot be used commercially without permission from the journal.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
37,Creative Commons Attribution-Noncommercial-No Derivative 3.0 license,"This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License. To view a copy of this license, visit  Creative Commons Attribution-Noncommercial-No Derivative 3.0 license uri http://creativecommons.org/licenses/by-nc-nd/3.0/",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
38,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,"This work is licensed under a  Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , which allows reusers to copy and distribute the material in any medium or format in unadapted form only, for noncommercial purposes only, and only so long as attribution is given to the creator.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
39,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.,88x31.jpg This work is licensed under a  Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. uri https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
40,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,This work is licensed under a  Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License uri https://creativecommons.org/licenses/by-nc-nd/3.0/ .,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
41,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License,"This is an open access article distributed under the terms of the  Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License uri https://creativecommons.org/licenses/by-nc-sa/4.0/ , which allows others to remix, tweak, and build upon the work non-commercially, as long as the author is credited and the new creations are licensed under the identical terms.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
42,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License,"This is an open access journal, and articles are distributed under the terms of the  Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License uri https://creativecommons.org/licenses/by-nc-nd/4.0/ , which allows others to remix, tweak, and build upon the work non-commercially, as long as appropriate credit is given and the new creations are licensed under the identical terms.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
43,Creative Commons Attribution-NonCommercial 4.0 International License,88x31.jpg  This work is licensed under a  Creative Commons Attribution-NonCommercial 4.0 International License uri https://creativecommons.org/licenses/by-nc/4.0/ .,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
44,Creative Commons Attribution‐NonCommercial,"This is an open access article under the terms of the  Creative Commons Attribution‐NonCommercial uri http://creativecommons.org/licenses/by-nc/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited and is not used for commercial purposes.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
45,Creative Commons Attribution‐NonCommercial,"This is an open access article under the terms of the  Creative Commons Attribution‐NonCommercial uri http://creativecommons.org/licenses/by-nc/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original
work is properly cited and is not used for commercial purposes.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
46,Creative Commons Attribution‐NonCommercial‐NoDerivs,"This is an open access article under the terms of the  Creative Commons Attribution‐NonCommercial‐NoDerivs uri http://creativecommons.org/licenses/by-nc-nd/3.0/  License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non‐commercial and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
47,Creative Commons Attribution 4.0,"This is an open access article under the terms of the  Creative Commons Attribution 4.0 uri http://creativecommons.org/licenses/by/4.0/  License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
48,Creative Commons Attribution 4.0 International License,"This work is licensed under a  Creative Commons Attribution 4.0 International License uri https://creativecommons.org/licenses/by/4.0/ , which allows reusers to distribute, remix, adapt, and build upon the material in any medium or format, so long as attribution is given to the creator. The license allows for commercial use.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
49,Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
50,Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri http://creativecommons.org/licenses/by/4.0/ , which permits use, distribution, and reproduction in any medium, so long as the resultant use is  not  for commercial advantage and provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
51,Creative Commons Attribution license,"This is an open-access article distributed under the terms of the  Creative Commons Attribution license uri https://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
52,Creative Commons Attribution License,"Hypertension yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution License uri https://creativecommons.org/licenses/by/4.0/ , which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
53,Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri http://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.  http://creativecommons.org/licenses/by/4.0/ uri http://creativecommons.org/licenses/by/4.0/",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
54,Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri https://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
55,Creative Commons Attribution License 4.0,"This is an open access article distributed under the  Creative Commons Attribution License 4.0 uri https://creativecommons.org/licenses/by/4.0/  (CCBY), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.  http://creativecommons.org/licenses/by/4.0/ uri https://creativecommons.org/licenses/by/4.0/",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
56,Creative Commons Attribution License 4.0 (CC BY),This open access article is distributed under  Creative Commons Attribution License 4.0 (CC BY) uri http://creativecommons.org/licenses/by/4.0/ .,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
57,Creative Commons Attribution License 4.0 (CCBY),"This is an open-access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
58,Creative Commons Attribution License 4.0 (CCBY),"This is an open access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri http://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
59,Creative Commons Attribution License 4.0 (CCBY),"This is an open access article distributed under the  Creative Commons Attribution License 4.0 (CCBY) uri https://creativecommons.org/licenses/by/4.0/ , which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
60,Creative Commons Attribution Non-Commercial-NoDerivs,"Arteriosclerosis, Thrombosis, and Vascular Biology  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
61,Creative Commons Attribution Non-Commercial-NoDerivs,"Arteriosclerosis, Thrombosis, and Vascular Biology yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
62,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
63,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation Research  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
64,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation Research yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
65,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
66,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Arrhythmia and Electrophysiology  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
67,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Cardiovascular Imaging yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
68,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Cardiovascular Quality and Outcomes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
69,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Cardiovascular Quality and Outcomes yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
70,Creative Commons Attribution Non-Commercial-NoDerivs,"Circulation: Heart Failure  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
71,Creative Commons Attribution Non-Commercial-NoDerivs,"Hypertension  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
72,Creative Commons Attribution Non-Commercial-NoDerivs,"Hypertension yes  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
73,Creative Commons Attribution Non-Commercial-NoDerivs,"Stroke  is published on behalf of the American Heart Association, Inc., by Wolters Kluwer Health, Inc. This is an open access article under the terms of the  Creative Commons Attribution Non-Commercial-NoDerivs uri https://creativecommons.org/licenses/by-nc-nd/4.0/  License, which permits use, distribution, and reproduction in any medium, provided that the original work is properly cited, the use is noncommercial, and no modifications or adaptations are made.",TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
