pmcid,pmid
PMC7144809,32223179
PMC7123858,32233418
PMC7123821,32227916
PMC7119221,31062580
PMC7099677,32202420
PMC7099656,32207922
PMC7098070,32045235
PMC7094172,32105468
PMC7094171,32167747
PMC7094139,32129977
PMC7075663,31951121
PMC7075527,31633330
PMC6822272,31268686
PMC7075649,31244113
PMC6365909,30418757
PMC7075651,30192544
PMC7075646,29442512
PMC5807128,29298032
PMC7075648,28792763
PMC7077925,28394582
PMC7075523,27696819
PMC6131701,27933782
PMC7075522,27627203
PMC7075650,26878082
PMC4845099,25746232
PMC7274171,32428392
PMC7274147,32463239
PMC7269098,32478500
PMC7269094,32469511
PMC7263076,32438799
PMC7262728,32438814
PMC7243427,32392072
PMC7243426,32432461
PMC7241738,32379456
PMC7241736,32421334
PMC7241734,32427468
PMC7241733,32432466
PMC7241732,32542208
PMC7233852,32551433
PMC7228427,32435692
PMC7216762,32383582
PMC7216760,32388976
PMC7216531,32379439
PMC7202269,32391184
PMC7202245,32323974
PMC7202039,28124907
PMC7197973,32356654
PMC7194014,32255648
PMC7192204,32343122
PMC7185834,32329337
PMC7182141,32323978
PMC7179740,32319756
PMC7172500,32293168
PMC7163933,32286790
PMC7158889,32281785
PMC7153046,32233443
PMC7269097,32665808
PMC7269096,34192148
PMC7263077,32463221
PMC7263075,32437124
PMC7254611,0
PMC7252589,32402186
PMC7241739,32406687
PMC7241737,32379417
PMC7241735,0
PMC7241730,32547694
PMC7233851,32412231
PMC7228479,32375002
PMC7228432,32435320
PMC7216769,0
PMC7216761,32547693
PMC7202249,32483554
PMC7202248,32368894
PMC7197972,32315171
PMC7197457,32382657
PMC7192347,32348111
PMC7184878,32293875
PMC7182142,0
PMC7182139,0
PMC7179739,32320211
PMC7172577,0
PMC7172034,32337109
PMC7160911,32283006
PMC7724986,33267587
PMC7724984,33236896
PMC7724981,33264025
PMC7724763,33231439
PMC7724760,33263384
PMC7724759,33238709
PMC7724757,33225703
PMC7724756,33330844
PMC7724755,33275404
PMC7688048,33205654
PMC7688045,33215503
PMC7687296,33200935
PMC7687295,33207872
PMC7671103,33330838
PMC7671100,34778724
PMC7671098,0
PMC7670823,33172260
PMC7670822,33147964
PMC7641044,0
PMC7641043,33119291
PMC7640981,33006287
PMC7640977,32975947
PMC7640971,32697082
PMC7640969,32790362
PMC7640966,33103435
PMC7640965,33090793
PMC7640963,32786682
PMC7640959,32897080
PMC7640958,32883081
PMC7640957,33095583
PMC7640956,32893632
PMC7640955,32957788
PMC7640954,32786692
PMC7640952,32686424
PMC7605341,0
PMC7605339,33124797
PMC7605337,33112147
PMC7605330,33119257
PMC7605328,33324471
PMC7605242,33095007
PMC7586461,33372199
PMC7586458,33079516
PMC7586456,33330839
PMC7571315,33134697
PMC7571308,0
PMC7571306,33052685
PMC7571292,33140032
PMC7553040,33034443
PMC7553037,0
PMC7553036,33140031
PMC7552996,32966744
PMC7539557,32966040
PMC7536717,32931286
PMC7534800,32989986
PMC7526334,0
PMC7526332,32955847
PMC7523240,33140034
PMC7523239,32926779
PMC7518256,32931703
PMC7510349,32930583
PMC7507805,0
PMC7507803,33062952
PMC7507585,34191963
PMC7500431,32886473
PMC7491315,0
PMC7489049,32845618
PMC7485284,32838523
PMC7482579,32845122
PMC7482545,0
PMC7482073,33455218
PMC7466092,32790379
PMC7460831,32786695
PMC7457885,32840109
PMC7451068,0
PMC7448377,32833435
PMC7447077,34192277
PMC7447076,33062955
PMC7441751,32786280
PMC7441750,32787337
PMC7440141,32786452
PMC7433340,32790273
PMC7433338,32790406
PMC7430156,32787328
PMC7427122,32787330
PMC7425040,32680422
PMC7423024,32869009
PMC7418565,32786401
PMC7418564,32686937
PMC7413214,32692176
PMC7409941,32821883
PMC7409921,32668904
PMC7409919,32787225
PMC7409380,32677821
PMC7393669,32709193
PMC7385953,32603582
PMC7384394,32678978
PMC7384384,32657586
PMC7380128,0
PMC7376973,32660240
PMC7374935,32868999
PMC7374934,0
PMC7370532,32672454
PMC7370308,34191962
PMC7366507,32627534
PMC7359670,32639742
PMC7351017,32615038
PMC7346719,32573207
PMC7341691,32559081
PMC7341686,32551652
PMC7341685,32597663
PMC7336720,32551560
PMC7336719,0
PMC7331935,32536162
PMC7724985,33237727
PMC7724983,33270431
PMC7724980,33263988
PMC7724979,33226815
PMC7724762,33269927
PMC7724761,33253527
PMC7724758,33267577
PMC7323055,0
PMC7323048,32584537
PMC7319134,32551559
PMC7318557,32539372
PMC7316094,0
PMC7315851,32568543
PMC7315824,32578981
PMC7309898,32521159
PMC7307330,32551590
PMC7301960,32551679
PMC7301903,32821884
PMC7299393,0
PMC7299369,32485102
PMC7294895,0
PMC7294886,0
PMC7294877,0
PMC7294866,32478523
PMC7291777,32510208
PMC7688050,33205948
PMC7688049,33186044
PMC7688047,33320635
PMC7688046,33330843
PMC7687297,33283104
PMC7687294,33179911
PMC7671102,33330837
PMC7671101,33183004
PMC7671099,33174415
PMC7670825,33251468
PMC7670824,33174418
PMC7670821,33147968
PMC7670820,34191964
PMC7670819,34191965
PMC7641045,33135884
PMC7640986,33119313
PMC7640984,32960061
PMC7640983,33006900
PMC7640982,33153265
PMC7640980,33090795
PMC7640979,33103907
PMC7640978,33084340
PMC7640976,32946692
PMC7640975,33045833
PMC7640974,32852212
PMC7640973,32914632
PMC7640972,32892628
PMC7640970,32871072
PMC7640968,32931291
PMC7640967,32981324
PMC7640964,32790309
PMC7640962,33103906
PMC7640961,32907334
PMC7640960,32692185
PMC7640953,32786691
PMC7640951,32786890
PMC7605336,33112126
PMC7605327,33107304
PMC7605243,33104327
PMC7586457,33064451
PMC7586455,33073982
PMC7586454,33085491
PMC7574628,32975110
PMC7571312,33054210
PMC7571309,0
PMC7571300,33330841
PMC7571299,33330842
PMC7556163,34192089
PMC7553041,33034449
PMC7553039,33140033
PMC7553038,33330840
PMC7539551,32967427
PMC7537550,32966064
PMC7537548,32946224
PMC7534801,33001626
PMC7534799,32986441
PMC7526506,0
PMC7526333,33062951
PMC7523238,33269329
PMC7518242,32866368
PMC7510338,32857489
PMC7507806,33062953
PMC7507804,0
PMC7496948,32880453
PMC7496595,32853525
PMC7496593,32909761
PMC7491317,32885971
PMC7491316,32995495
PMC7489051,32845145
PMC7489050,32806897
PMC7485283,32840378
PMC7482546,0
PMC7469881,33062949
PMC7460864,32786709
PMC7460807,32845609
PMC7460803,32786273
PMC7457376,32808759
PMC7447080,33062950
PMC7447078,32786383
PMC7437450,32786284
PMC7437449,33052254
PMC7437448,32786309
PMC7433342,32934770
PMC7433339,0
PMC7423023,32934769
PMC7416635,32687696
PMC7409944,32678588
PMC7409939,32605363
PMC7409933,32821882
PMC7409927,32687345
PMC7409923,32806067
PMC7409920,33062954
PMC7393772,32821885
PMC7393674,32786343
PMC7393668,32706574
PMC7385996,32657566
PMC7384389,32654489
PMC7376974,32667191
PMC7376971,32658489
PMC7374936,32627524
PMC7374814,34191961
PMC7370531,32672954
PMC7359671,32639711
PMC7341689,32584542
PMC7341688,0
PMC7341687,32578982
PMC7336722,32719821
PMC7336721,32614178
PMC7331933,32551648
PMC7328466,32539346
PMC7325519,32571007
PMC7323060,32511912
PMC7323059,0
PMC7323058,32543176
PMC7323056,32530282
PMC7318555,32530284
PMC7315846,32665809
PMC7315836,32539378
PMC7315437,32632398
PMC7313673,32543196
PMC7307710,32551532
PMC7307329,32551537
PMC7304236,32551639
PMC7299399,32519842
PMC7299396,32482077
PMC7299395,32438806
PMC7299394,32525657
PMC7299382,32530639
PMC7294896,0
PMC7294826,32484683
PMC8147461,0
PMC8147457,33988964
PMC8147448,34009992
PMC8147445,0
PMC8146142,34011150
PMC8146138,34015930
PMC8146134,33999630
PMC8130627,0
PMC8130611,33979123
PMC8130531,33979143
PMC8130525,33979162
PMC8130524,33984237
PMC8130523,33983745
PMC8130191,33966371
PMC8117783,33939913
PMC8117782,33961399
PMC8117781,33929200
PMC8117401,33955213
PMC8117400,33951913
PMC8117399,33930273
PMC8101008,33724771
PMC8098802,33900775
PMC8098775,33900725
PMC8098774,33929853
PMC8098771,33928784
PMC8097931,33900080
PMC8084274,0
PMC8084273,33872498
PMC8084272,33876632
PMC8084271,33890471
PMC8084270,0
PMC8084269,33881861
PMC8084268,33877845
PMC8084267,34075345
PMC8078198,34192243
PMC8078197,33871970
PMC8078196,33881894
PMC8056951,33856796
PMC8056950,34075346
PMC8056948,33849267
PMC8056606,33848173
PMC8056949,0
PMC8056947,33844549
PMC8056600,33844528
PMC8043216,33829781
PMC8043205,33826850
PMC8043203,0
PMC8043202,33825440
PMC8043201,33822583
PMC8043210,0
PMC8043204,34075344
PMC8043197,0
PMC8043206,34136758
PMC8043200,34056089
PMC8043199,33797897
PMC8043198,0
PMC8043074,33797892
PMC8033752,33855276
PMC8029448,33793189
PMC8029446,33792313
PMC8029444,33794092
PMC8028019,33869946
PMC8029450,34056088
PMC8029449,33787218
PMC8029441,33787221
PMC8043207,33783182
PMC8029447,33784094
PMC8040047,33854700
PMC8029445,34056083
PMC8028022,33779135
PMC8009100,33855277
PMC8008790,34192090
PMC8009098,34056095
PMC8009096,33759506
PMC8009095,0
PMC8009097,33755450
PMC8009099,33855275
PMC8009094,0
PMC8008787,33842755
PMC8009103,33733740
PMC8009101,33734675
PMC7986980,33734704
PMC7986978,0
PMC7986976,0
PMC8029440,33724796
PMC8009102,34136757
PMC7986977,33724837
PMC7986975,33850605
PMC7986002,33778250
PMC7986981,0
PMC7945586,33666082
PMC7944398,33748563
PMC7945588,33655751
PMC7945587,33657325
PMC7945585,33786374
PMC7945584,33656857
PMC7944396,33748571
PMC7944395,33748577
PMC7945583,33645226
PMC7944397,33645977
PMC7944394,33645217
PMC7931623,0
PMC7931624,33629833
PMC7927280,33629859
PMC7927279,33631932
PMC7931628,33619962
PMC7927290,33718731
PMC7931627,33786375
PMC7931626,33880460
PMC7927282,33617253
PMC7931625,33606496
PMC7931622,0
PMC7927283,33605140
PMC7927284,33601881
PMC7901236,33596036
PMC7901235,34192093
PMC7927281,33590749
PMC7901233,0
PMC7901234,33586431
PMC7908063,33577736
PMC7901140,33577324
PMC7901139,33577341
PMC7901238,0
PMC7901237,33570381
PMC7885806,0
PMC7885803,33569952
PMC7885800,33570401
PMC7885334,33570399
PMC7885801,33566596
PMC7885799,0
PMC7885804,33559466
PMC7885802,33555895
PMC7885805,33544999
PMC7875340,33538596
PMC7874501,34192244
PMC7874499,33538586
PMC7875338,33534552
PMC7875346,0
PMC7875339,33523638
PMC7875336,33523654
PMC7874498,33523655
PMC7874468,33522795
PMC7874500,33512172
PMC7860141,33511840
PMC7860140,33508197
PMC7860143,33502175
PMC7860142,33502840
PMC7860137,33496572
PMC7860136,33496577
PMC7857140,33585737
PMC7857136,33491459
PMC7860150,0
PMC7860139,0
PMC7860138,33480671
PMC7857139,33481583
PMC7857138,33481575
PMC7857137,33480246
PMC7839418,33474931
PMC7839156,33553941
PMC7839414,33472369
PMC7839158,33471510
PMC7839157,33553890
PMC7839421,33464829
PMC7839417,33464917
PMC7839412,33464914
PMC7839413,33615159
PMC7839160,33448856
PMC7839420,0
PMC7839415,33649735
PMC7839419,33432808
PMC7839416,33434001
PMC7805607,33426894
PMC7805606,33426872
PMC7805601,33427452
PMC7805598,33417425
PMC7805596,33615190
PMC7805306,34192094
PMC7805600,33527086
PMC7805599,0
PMC7805595,33406838
PMC7805605,33527087
PMC7805602,33393790
PMC7805305,33395304
PMC7805604,33377385
PMC7805603,33615177
PMC7805597,0
PMC7784664,33378177
PMC7784665,33615160
PMC7784662,33370087
PMC7783900,33371667
PMC7784663,33356134
PMC7784661,33356169
PMC7771245,33355440
PMC7771248,33352046
PMC7771247,33352056
PMC7770893,33350309
PMC7771250,33346633
PMC7771249,33458462
PMC7770889,33347311
PMC7770894,33337873
PMC7755081,33527085
PMC7771246,33331780
PMC7755076,33332105
PMC7754785,33398250
PMC7754786,33326239
PMC7754784,33320670
PMC7927285,34192125
PMC7754783,33314910
PMC7755077,33615173
PMC7755075,33306377
PMC7737537,33301685
PMC7737538,33479570
PMC7737536,33296169
PMC7737535,33289545
PMC7737534,33283515
PMC7737533,33283521
PMC7737396,33274945
PMC7737395,33269932
PMC7770890,33175551
PMC8547516,34666487
PMC8547506,34672551
PMC8547502,34677966
PMC8547495,34665619
PMC8547167,34670086
PMC8547166,34723042
PMC8547165,34662096
PMC8547163,34657424
PMC8547162,34652910
PMC8525701,34634204
PMC8525346,0
PMC8525345,0
PMC8525343,0
PMC8525341,0
PMC8525339,0
PMC8525337,34624194
PMC8524965,34648284
PMC8524959,34623792
PMC8507151,34609882
PMC8547501,34658235
PMC8547496,34672530
PMC8547493,34669371
PMC8547164,34723043
PMC8525344,34647745
PMC8525342,34786180
PMC8525340,34648291
PMC8525042,34618423
PMC8524964,34636246
PMC8524960,34623155
PMC8507565,34613689
PMC8507153,34609841
PMC8491555,0
PMC8491554,34586788
PMC8491553,0
PMC8491552,34542296
PMC8491550,34570513
PMC8491549,34581563
PMC8491437,34632242
PMC8491436,34569778
PMC8491435,34570469
PMC8482786,0
PMC8482785,34533959
PMC8482784,0
PMC8482783,34546709
PMC8482323,34608449
PMC8482322,34533304
PMC8482321,34546760
PMC8482320,34524834
PMC8482319,34608447
PMC8482318,34541844
PMC8482317,34550702
PMC8457332,34506132
PMC8457330,34528437
PMC8457327,0
PMC8457326,34506130
PMC8457325,34516136
PMC8457324,34529436
PMC8457323,0
PMC8456773,34523904
PMC8442615,34498840
PMC8442612,34651104
PMC8442611,34492195
PMC8442610,34491043
PMC8442609,0
PMC8442557,34490778
PMC8442556,34499464
PMC8442555,34494424
PMC8425337,34459196
PMC8425336,34436866
PMC8425335,34472328
PMC8425334,34463470
PMC8425333,0
PMC8424691,34514271
PMC8424690,34514272
PMC8424689,34437808
PMC8424688,34437802
PMC8409149,34432430
PMC8409148,34415156
PMC8409147,34423970
PMC8409146,34428371
PMC8409145,34427448
PMC8409144,0
PMC8406982,34424659
PMC8406924,34432478
PMC8406923,34428374
PMC8404293,34397216
PMC8386037,34412466
PMC8386036,34392681
PMC8386029,34398611
PMC8370124,34369795
PMC8370123,0
PMC8370122,0
PMC8370121,34379420
PMC8370120,34351770
PMC8370119,34383488
PMC8370118,34375093
PMC8370117,34375076
PMC8369982,34370466
PMC8353992,34347470
PMC8353990,34348021
PMC8353989,34328726
PMC8353988,34351742
PMC8353987,34319698
PMC8353986,34328734
PMC8353985,34342429
PMC8353891,34395967
PMC8353890,34339171
PMC8353889,34328324
PMC8353888,34338520
PMC8353887,34396059
PMC8353886,34394844
PMC8353885,34328740
PMC8340583,34313439
PMC8340582,34313428
PMC8340581,0
PMC8340580,34319118
PMC8340579,34297570
PMC8340086,34373846
PMC8340085,34297554
PMC8340084,34373838
PMC8315264,34283611
PMC8315257,34279930
PMC8315256,0
PMC8315252,34279924
PMC8315249,34279093
PMC8315246,34292740
PMC8315245,34466656
PMC8315244,34288642
PMC8315243,34270232
PMC8315242,34291944
PMC8315241,0
PMC8315240,34270230
PMC8315141,34337272
PMC8315140,34279898
PMC8315139,34279108
PMC8291138,34242027
PMC8291137,34408808
PMC8291136,0
PMC8291135,0
PMC8291134,34260855
PMC8291133,34264643
PMC8291132,0
PMC8290924,34264067
PMC8290923,34263598
PMC8276672,34213885
PMC8276671,0
PMC8276604,34228472
PMC8276600,34227801
PMC8265724,34341772
PMC8265722,34156227
PMC8265720,34341771
PMC8265718,34152728
PMC8265543,34341769
PMC8265538,34170122
PMC8265535,34192453
PMC8265534,34181385
PMC8265533,34180678
PMC8265532,34196550
PMC8265531,34213312
PMC8262173,34170680
PMC8262172,34180223
PMC8262171,34196568
PMC8262170,34213308
PMC8247785,34250348
PMC8247784,34250347
PMC8247783,34156834
PMC8247782,34155883
PMC8247781,34250342
PMC8247780,34161095
PMC8231689,0
PMC8231672,34129317
PMC8231663,34128653
PMC8231662,34132519
PMC8231661,34121407
PMC8231660,34462738
PMC8231659,34341770
PMC8231658,34133128
PMC8230963,34114829
PMC8230961,34254058
PMC8230960,34124899
PMC8230954,34125535
PMC8230949,34235330
PMC8204757,34179644
PMC8204914,34110159
PMC8204756,34110129
PMC8204754,34110168
PMC8204913,34257831
PMC8204912,0
PMC8204911,34414360
PMC8204751,34105936
PMC8204755,34100287
PMC8204753,34086443
PMC8204752,34086459
PMC8189044,34081439
PMC8189039,34081452
PMC8189036,34080435
PMC8189034,34080826
PMC8189038,34077217
PMC8189043,0
PMC8189035,34047191
PMC8188736,34048220
PMC8189040,34043356
PMC8188756,34039006
PMC8189037,0
PMC8188755,34038639
PMC8171108,34037382
PMC8171221,34019767
PMC8171220,34019389
PMC8171219,34019385
PMC8171107,34018723
PMC8204750,34136759
PMC7674377,33179951
PMC7674376,33179954
PMC7670029,33235830
PMC7577340,32634001
PMC7567179,33102171
PMC7564996,33054265
PMC7564680,33054268
PMC7479416,32787399
PMC7433263,32787417
PMC7433242,32787397
PMC7343949,32634004
PMC7343922,32634002
PMC7300941,32501019
PMC7284162,32501022
PMC7284159,32501021
PMC7284152,32501017
PMC7670026,33235831
PMC7669940,33181875
PMC7577345,34192121
PMC7577343,32242438
PMC7577341,34192122
PMC7577338,32896137
PMC7567180,33102170
PMC7565662,33054273
PMC7564931,33054263
PMC7564848,33054267
PMC7564763,33054266
PMC7564671,33054264
PMC7479422,32934920
PMC7479414,32787398
PMC7479359,32896147
PMC7433289,32787395
PMC7433230,32787396
PMC7433226,32832117
PMC7433220,32787394
PMC7343955,32634003
PMC7343917,32634005
PMC7284161,32501018
PMC7284160,32501020
PMC7284157,32370525
PMC7276346,32537428
PMC8111706,0
PMC8111705,34192123
PMC8063497,33936793
PMC8063496,33937004
PMC8007986,33821204
PMC8007987,33764150
PMC8517702,34636593
PMC8517701,0
PMC8517700,0
PMC8517699,0
PMC8517694,34667655
PMC8517698,0
PMC8517697,34636601
PMC8517696,34667505
PMC8517695,0
PMC8517693,34667654
PMC8517658,34667720
PMC8424716,34476970
PMC8424715,34476964
PMC8424714,34476960
PMC8335795,0
PMC8335794,0
PMC8335793,34342484
PMC8335792,34342481
PMC8335789,34395199
PMC8335788,34395198
PMC8335787,34342487
PMC8335786,34342480
PMC8335785,34394971
PMC8335784,34212744
PMC8335783,34394969
PMC8335782,34394970
PMC8335781,34342485
PMC8335780,34395200
PMC8335779,34394965
PMC8335778,34342472
PMC8335777,34394849
PMC8335776,34342475
PMC8335775,34394972
PMC8335774,34342474
PMC8335773,34342488
PMC8335772,34342477
PMC8335771,34394848
PMC8335770,34394964
PMC8335769,34342476
PMC8335768,34342486
PMC8335767,34395202
PMC8335766,34394962
PMC8335765,34342473
PMC8335764,34395201
PMC8335763,34394966
PMC8335762,34342471
PMC8335761,34394963
PMC8335760,34342478
PMC8335759,34394967
PMC8335758,34394968
PMC8335756,34394976
PMC8335755,34394974
PMC8335754,34394973
PMC8335753,34394977
PMC8335752,34394975
PMC8252188,34230862
PMC8252184,0
PMC8252183,0
PMC8252182,34212748
PMC8252181,34212751
PMC8252180,34212734
PMC8252179,34230867
PMC8252178,34212739
PMC8252177,34212746
PMC8252176,34212735
PMC8252175,34230865
PMC8252174,34230864
PMC8252173,34212738
PMC8252172,34212743
PMC8252171,34230845
